"page","viewport","overflow","scrollWidth","offenders"
"index.html","375x812","false","375","[{""tag"":""LABEL"",""cls"":""language-label"",""id"":"""",""w"":68,""cw"":1,""right"":236},{""tag"":""SPAN"",""cls"":""nav-toggle-label"",""id"":"""",""w"":41,""cw"":1,""right"":327},{""tag"":""SPAN"",""cls"":""sr-only"",""id"":"""",""w"":293,""cw"":1,""right"":21}]"
"index.html","768x1024","false","753","[{""tag"":""HEADER"",""cls"":""site-header"",""id"":"""",""w"":814,""cw"":753,""right"":753},{""tag"":""A"",""cls"":""brand"",""id"":"""",""w"":82,""cw"":0,""right"":32},{""tag"":""DIV"",""cls"":""header-actions"",""id"":"""",""w"":162,""cw"":162,""right"":814},{""tag"":""SELECT"",""cls"":""language-select"",""id"":""language-select"",""w"":82,""cw"":82,""right"":814},{""tag"":""SPAN"",""cls"":""sr-only"",""id"":"""",""w"":362,""cw"":1,""right"":33}]"
"index.html","1440x1000","false","1425","[{""tag"":""SPAN"",""cls"":""sr-only"",""id"":"""",""w"":482,""cw"":1,""right"":33}]"
"ressources/activite-01-corrige-evaluation.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""assessment-grid"",""id"":"""",""w"":592,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":592,""cw"":592,""right"":631},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":591,""cw"":591,""right"":630},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":591,""cw"":591,""right"":630}]"
"ressources/activite-01-corrige-evaluation.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-01-corrige-evaluation.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-01-exemple-production.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-01-exemple-production.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-01-exemple-production.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-01-fiche-eleve-classe.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
