source_page,link_text,href,kind,target,local_exists,status,anchor_ok,notes,public_status
index.html,H Histoires d'os,#accueil,internal,index.html,yes,exists,yes,,200
index.html,Parcours,#parcours,internal,index.html,yes,exists,yes,,200
index.html,Activités,#activites,internal,index.html,yes,exists,yes,,200
index.html,Atelier,#atelier,internal,index.html,yes,exists,yes,,200
index.html,Ressources,#ressources,internal,index.html,yes,exists,yes,,200
index.html,Glossaire,#glossaire,internal,index.html,yes,exists,yes,,200
index.html,Recherche Langue FR DE IT EN Menu Archéozoologie et médiation Histoires d'os L'astragale n'est pas seulement un osselet ,#recherche,internal,index.html,yes,exists,yes,,200
index.html,Choisir un parcours,#parcours,internal,index.html,yes,exists,yes,,200
index.html,Consulter le glossaire Observer Identifier la forme et les indices visibles. Situer Replacer l'os dans le corps et dans ,#glossaire,internal,index.html,yes,exists,yes,,200
index.html,Ouvrir le dossier Musée Familles · groupes 30-45 min Activité 1 — Trouver l'astragale au musée Une mission de visite : p,ressources/activite-01-trouver-astragale.html#classe,internal,ressources/activite-01-trouver-astragale.html,yes,exists,yes,,200
index.html,Ouvrir le dossier École et musée 8-12 ans 45 min Activité 2 — À quel animal appartient cet astragale ? Les élèves observ,ressources/activite-01-trouver-astragale.html#musee,internal,ressources/activite-01-trouver-astragale.html,yes,exists,yes,,200
index.html,Ouvrir le dossier École et musée 8-12 ans 50 min ou 2 séances Activité 3 — Achille : comment une histoire se transforme-,ressources/activite-02-associer-astragale-animal.html,internal,ressources/activite-02-associer-astragale-animal.html,yes,exists,n/a,,200
index.html,"Ouvrir le dossier École et musée 8-12 ans 50 min ou 2 séances Activité 4 — Un os, plusieurs vies Les élèves observent de",ressources/activite-03-achille-histoire-transformee.html,internal,ressources/activite-03-achille-histoire-transformee.html,yes,exists,n/a,,200
index.html,"Ouvrir le dossier École 10-12 ans 30 min Vrai, prudent, à vérifier Les élèves trient des phrases sur l'osselet, Achille ",ressources/activite-04-un-os-plusieurs-vies.html,internal,ressources/activite-04-un-os-plusieurs-vies.html,yes,exists,n/a,,200
index.html,"Ouvrir le document Atelier de raisonnement Ce que l'on croyait, ce que l'on sait mieux aujourd'hui Le site installe un r",ressources/document-vrai-prudent-verifier.html,internal,ressources/document-vrai-prudent-verifier.html,yes,exists,n/a,,200
index.html,"01 Dossier complet — Activité 1 Page centrale avec fiches élèves, guides, corrigé, planche de repérage et suivi des vali",ressources/activite-01-trouver-astragale.html,internal,ressources/activite-01-trouver-astragale.html,yes,exists,n/a,,200
index.html,"02 Dossier complet — Activité 2 Cartes, fiches d'observation, grille d'association, guides adultes, correction raisonnée",ressources/activite-02-associer-astragale-animal.html,internal,ressources/activite-02-associer-astragale-animal.html,yes,exists,n/a,,200
index.html,"03 Dossier complet — Activité 3 Corpus d'images, schéma anatomique, questionnaire, cartes chronologiques, guides adultes",ressources/activite-03-achille-histoire-transformee.html,internal,ressources/activite-03-achille-histoire-transformee.html,yes,exists,n/a,,200
index.html,"04 Dossier complet — Activité 4 Cartes d'objets, cartes d'usages et de contextes, fiches d'observation, biographie d'obj",ressources/activite-04-un-os-plusieurs-vies.html,internal,ressources/activite-04-un-os-plusieurs-vies.html,yes,exists,n/a,,200
index.html,"05 Guide enseignant Déroulement complet, analyse a priori, relances, différenciation et évaluation formative.",ressources/document-mission-astragale.html,internal,ressources/document-mission-astragale.html,yes,exists,n/a,,200
index.html,"06 Guide du musée Organisation de station, contraintes de vitrine, sécurité, accessibilité et médiation orale.",ressources/document-musee-ou-est-l-os.html,internal,ressources/document-musee-ou-est-l-os.html,yes,exists,n/a,,200
