legacy_url,current_file,recommended_future_route,status,notes
/index.html,index.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-01-corrige-evaluation.html,ressources/activite-01-corrige-evaluation.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-01-exemple-production.html,ressources/activite-01-exemple-production.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-01-fiche-eleve-classe.html,ressources/activite-01-fiche-eleve-classe.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-01-fiche-eleve-musee.html,ressources/activite-01-fiche-eleve-musee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-01-fiche-reperage.html,ressources/activite-01-fiche-reperage.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-01-trouver-astragale.html,ressources/activite-01-trouver-astragale.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-associer-astragale-animal.html,ressources/activite-02-associer-astragale-animal.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-cartes-animaux.html,ressources/activite-02-cartes-animaux.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-cartes-astragales.html,ressources/activite-02-cartes-astragales.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-corrige-evaluation.html,ressources/activite-02-corrige-evaluation.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-exemple-production.html,ressources/activite-02-exemple-production.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-fiche-eleve-classe.html,ressources/activite-02-fiche-eleve-classe.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-fiche-eleve-musee.html,ressources/activite-02-fiche-eleve-musee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-grille-association.html,ressources/activite-02-grille-association.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-guide-enseignant.html,ressources/activite-02-guide-enseignant.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-02-guide-musee.html,ressources/activite-02-guide-musee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-achille-histoire-transformee.html,ressources/activite-03-achille-histoire-transformee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-album-classe.html,ressources/activite-03-album-classe.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-cartes-chronologiques.html,ressources/activite-03-cartes-chronologiques.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-corpus-images.html,ressources/activite-03-corpus-images.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-corrige-evaluation.html,ressources/activite-03-corrige-evaluation.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-exemple-production.html,ressources/activite-03-exemple-production.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-fiche-eleve-classe.html,ressources/activite-03-fiche-eleve-classe.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-fiche-eleve-musee.html,ressources/activite-03-fiche-eleve-musee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-guide-enseignant.html,ressources/activite-03-guide-enseignant.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-guide-musee.html,ressources/activite-03-guide-musee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-prolongement-illustration-ia.html,ressources/activite-03-prolongement-illustration-ia.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-questionnaire.html,ressources/activite-03-questionnaire.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-03-schema-talus.html,ressources/activite-03-schema-talus.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-biographie-objet.html,ressources/activite-04-biographie-objet.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-cartes-contextes.html,ressources/activite-04-cartes-contextes.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-cartes-objets.html,ressources/activite-04-cartes-objets.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-cartes-usages.html,ressources/activite-04-cartes-usages.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-corrige-evaluation.html,ressources/activite-04-corrige-evaluation.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-exemple-production.html,ressources/activite-04-exemple-production.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-fiche-eleve-classe.html,ressources/activite-04-fiche-eleve-classe.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-fiche-eleve-musee.html,ressources/activite-04-fiche-eleve-musee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-fiche-observation.html,ressources/activite-04-fiche-observation.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-grille-interpretation.html,ressources/activite-04-grille-interpretation.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-guide-enseignant.html,ressources/activite-04-guide-enseignant.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-guide-musee.html,ressources/activite-04-guide-musee.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-prolongement-creation.html,ressources/activite-04-prolongement-creation.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/activite-04-un-os-plusieurs-vies.html,ressources/activite-04-un-os-plusieurs-vies.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/document-mission-astragale.html,ressources/document-mission-astragale.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/document-musee-ou-est-l-os.html,ressources/document-musee-ou-est-l-os.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/document-vrai-prudent-verifier.html,ressources/document-vrai-prudent-verifier.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/recit-achille-astragale.html,ressources/recit-achille-astragale.html,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/corrige-raisonne.md,ressources/corrige-raisonne.md,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/fiche-activite-mission-astragale.md,ressources/fiche-activite-mission-astragale.md,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/fiche-activite-vrai-prudent-verifier.md,ressources/fiche-activite-vrai-prudent-verifier.md,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/fiche-musee-ou-est-l-os.md,ressources/fiche-musee-ou-est-l-os.md,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
/ressources/glossaire-depart.md,ressources/glossaire-depart.md,,keep-compatible,Existing URL/file should remain reachable or redirect if refactored.
