chemin_original,dossier_parent,fichier,type,format,taille,dimensions,activite_probable,id_registre_probable,usage_probable,statut_publication,raison,source_connue,licence_connue,action_recommandee
_private-inputs/a-integrer/all-archive/A01-3D-001 — modèle 3D d’astragale mouton/astragalus_faces_copy_cleanest_6628_autosave_remesh.blend,A01-3D-001 — modèle 3D d’astragale mouton,astragalus_faces_copy_cleanest_6628_autosave_remesh.blend,modele-3d,blend,16830955,,activite-01,A01-3D-001,"Activite 1: modele 3D possible d'astragale, a valider",à vérifier,fichier de travail 3D sans notice source/licence locale; ne pas publier brut,production ou remix a confirmer,à vérifier,"conserver en prive; documenter source, transformations et licence avant export public"
_private-inputs/a-integrer/all-archive/A01-3D-001 — modèle 3D d’astragale mouton/astragalus_faces.glb,A01-3D-001 — modèle 3D d’astragale mouton,astragalus_faces.glb,modele-3d,glb,157584,,activite-01,A01-3D-001,"Activite 1: modele 3D possible d'astragale, a valider",à vérifier,modele 3D sans notice source/licence locale,Sketchfab ou production interne a confirmer,à vérifier,"Nicolas doit identifier la page source, l'auteur, la licence et les droits d'affichage public"
"_private-inputs/a-integrer/all-archive/A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse/3D_CT_Reconstruction_of_Distal_tibia_fracture.gif","A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse",3D_CT_Reconstruction_of_Distal_tibia_fracture.gif,image,gif,9770478,988x918,activite-01,A01-IMG-001,Activite 1: reperage anatomique du tarse et du talus/astragale humain,publiable maintenant,"source, auteur et licence CC0 verifies; usage conseille comme appui adulte ou prolongement, pas comme image principale eleve","RoTTe, own work, via Wikimedia Commons",CC0,"possible integration publique apres optimisation, credit court et legende indiquant qu'il s'agit d'une reconstruction CT de fracture distale du tibia"
"_private-inputs/a-integrer/all-archive/A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse/Left_Talus_bone_07_lateral_view.png","A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse",Left_Talus_bone_07_lateral_view.png,image,png,2075367,4500x4500,activite-01,A01-IMG-001,Activite 1: reperage anatomique du tarse et du talus/astragale humain,publiable maintenant,"source BodyParts3D/DBCLS, auteur et licence compatibles verifies; talus humain clairement signale en rouge","BodyParts3D / DBCLS, via Wikimedia Commons",CC BY-SA 2.1 JP,"premiere integration publique recommandee pour l'activite 1 avec alt text, credit court et mention talus humain en vue laterale"
"_private-inputs/a-integrer/all-archive/A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse/leg_collection_of_thunthu.glb","A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse",leg_collection_of_thunthu.glb,modele-3d,glb,830908,,activite-01,A01-IMG-001,Activite 1: reperage anatomique du tarse et du talus/astragale humain,à vérifier,modele 3D sans notice source/licence locale,source Sketchfab probable a confirmer,à vérifier,"identifier la page source, l'auteur, la licence et la pertinence anatomique avant publication"
"_private-inputs/a-integrer/all-archive/A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse/Talus_bone_04_anterolateral_view.png","A01-IMG-001 — schéma ou photographie, modèle 3d du pied humain montrant le tarse",Talus_bone_04_anterolateral_view.png,image,png,3479546,4500x4500,activite-01,A01-IMG-001,Activite 1: reperage anatomique du tarse et du talus/astragale humain,publiable maintenant,"source BodyParts3D/DBCLS, auteur et licence compatibles verifies; talus humain clairement signale en rouge","BodyParts3D / DBCLS, via Wikimedia Commons",CC BY-SA 2.1 JP,integration possible pour activite 1 ou 3 avec credit court et mention vue anterolaterale
"_private-inputs/a-integrer/all-archive/A01-IMG-002 — vue isolée d’un astragale humain, avec modèle 3d, et astragale de mouton et de vache/astragalus vache/Media 000458190 - Astragalus Mesh StrLight/Bos_taurus_astragalus_R_ANU_M198-000458190.ply",Media 000458190 - Astragalus Mesh StrLight,Bos_taurus_astragalus_R_ANU_M198-000458190.ply,modele-3d,ply,26884662,,activite-01,A01-IMG-002,Activite 1: vue isolee d'astragale/talus et comparaison humain/bovin,à vérifier,"metadata MorphoSource/Smithsonian indique InC-NC, commercial use not permitted et 3D printing limited; conditions exactes a valider","MorphoSource / Smithsonian 3D, ANU Zooarchaeology Collection, Ozboneviz, media 000458190","rightsstatements.org InC-NC 1.0, MorphoSource Standard, usage commercial non permis, impression 3D limitee",ne pas publier avant validation juridique des conditions MorphoSource et attribution complete
"_private-inputs/a-integrer/all-archive/A01-IMG-002 — vue isolée d’un astragale humain, avec modèle 3d, et astragale de mouton et de vache/astragalus vache/media-manifest-7e7b6963-b17f-412e-9329-29268a4836f9.xlsx",astragalus vache,media-manifest-7e7b6963-b17f-412e-9329-29268a4836f9.xlsx,tableur,xlsx,5758,,activite-01,A01-IMG-002,Activite 1: vue isolee d'astragale/talus et comparaison humain/bovin,à vérifier,"source probable identifiee, mais conditions de reuse non tranchees","Smithsonian 3D, Media 000458190, Bos taurus astragalus, manifest present dans le lot",conditions a lire dans ms_usage_std_comm_no_rearc_ms_3d_limited.pdf,examiner la licence Smithsonian avant integration publique 3D ou image
"_private-inputs/a-integrer/all-archive/A01-IMG-002 — vue isolée d’un astragale humain, avec modèle 3d, et astragale de mouton et de vache/astragalus vache/media-manifest-900a7fc5-9406-4530-88c7-280cfd33e386.csv",astragalus vache,media-manifest-900a7fc5-9406-4530-88c7-280cfd33e386.csv,tableur,csv,2082,,activite-01,A01-IMG-002,Activite 1: vue isolee d'astragale/talus et comparaison humain/bovin,à vérifier,"source probable identifiee, mais conditions de reuse non tranchees","Smithsonian 3D, Media 000458190, Bos taurus astragalus, manifest present dans le lot",conditions a lire dans ms_usage_std_comm_no_rearc_ms_3d_limited.pdf,examiner la licence Smithsonian avant integration publique 3D ou image
"_private-inputs/a-integrer/all-archive/A01-IMG-002 — vue isolée d’un astragale humain, avec modèle 3d, et astragale de mouton et de vache/astragalus vache/ms_usage_std_comm_no_rearc_ms_3d_limited.pdf",astragalus vache,ms_usage_std_comm_no_rearc_ms_3d_limited.pdf,pdf,pdf,118116,,activite-01,A01-IMG-002,Activite 1: vue isolee d'astragale/talus et comparaison humain/bovin,à vérifier,"source probable identifiee, mais conditions de reuse non tranchees","Smithsonian 3D, Media 000458190, Bos taurus astragalus, manifest present dans le lot",conditions a lire dans ms_usage_std_comm_no_rearc_ms_3d_limited.pdf,examiner la licence Smithsonian avant integration publique 3D ou image
