"id","auteurs","titre","année","type","statut_publication","doi","url_editeur","url_academia","chemin_local_prive","texte_integral_disponible","langue","themes","activites_concernees","statut_lecture","statut_validation_scientifique","droits_connus","notes"
"BC-001","Barbara Carè","From the astragalus to the heel: revisiting the anatomy of Achilles’ mythical invulnerability","2026","article scientifique","publié","10.1093/bics/qbag009","https://academic.oup.com/bics/article/69/1/202/8539880","https://www.academia.edu/164957812/From_the_astragus_to_the_heel_revisiting_the_anatomy_of_Achilles_mythical_invulnerability_BICS_2026","_private-inputs/scientifique/articles/mythe achilles.pdf","oui","en","Achille; talus; astragale; cheville; talon; anatomie; mythe; réception","1;3","lecture ciblée du texte intégral","référence prioritaire publiée; citer page ou section","CC BY-NC-ND 4.0 pour l'article; droits des figures séparés","Bulletin of the Institute of Classical Studies 69(1), p. 202-216; publication en ligne le 24 mars 2026."
"BC-002","Barbara Carè","L’astragale réexaminé : jeu, rites et violence dans l’Antiquité classique","2023","chapitre scientifique","publié","10.4000/books.puc.27266","https://books.openedition.org/puc/27266?lang=fr","https://www.academia.edu/53480524/L_astragale_r%C3%A9examin%C3%A9_jeu_rites_et_violence_dans_lAntiquit%C3%A9_classique","","oui, texte intégral OpenEdition","fr","astragales; jeu; rites; violence; religion; rites de passage; Sparte; Tarente","2;3;4","lecture ciblée du texte intégral","référence prioritaire publiée; citer page ou paragraphe","CC BY-NC-ND 4.0 pour le texte; autres éléments tous droits réservés sauf mention contraire","Dans V. Dasen et T. Haziza (dir.), Violence et jeu de l’Antiquité à nos jours, p. 105-127."
"BC-003","Barbara Carè","Le projet Histoires d’os, un pont entre science et société autour des recherches sur les astragales","2025","chronique scientifique et de médiation","publié","10.4000/14mne","https://journals.openedition.org/frontieres/4628","https://www.academia.edu/143901656/_Le_projet_Histoires_d_os_un_pont_entre_science_et_soci%C3%A9t%C3%A9_autour_des_recherches_sur_les_astragales_Fronti%C3%A8re_s_En_ligne_Chroniques_mis_en_ligne_le_11_septembre_2025","","oui, texte intégral OpenEdition","fr","Histoires d’os; médiation; astragales; historiographie; société","1;2;3;4","texte intégral repéré","source de cadrage publiée; recouper les affirmations détaillées","CC BY-NC-SA 4.0 pour le texte; illustrations et annexes séparées","Frontière·s, Chroniques, mise en ligne le 11 septembre 2025."
"BC-004","Barbara Carè","Of Knucklebones and Kairos. A Reappraisal of the Astragal-Shaped Base from Olympia","2025","chapitre scientifique","publié","","","https://www.academia.edu/105480774/Of_knucklebones_and_Kairos_A_reappraisal_of_the_astragal_shaped_base_from_Olympia_in_%CE%A0_%CE%A7%CF%81%CE%B9%CF%83%CF%84%CE%BF%CE%B4%CE%BF%CF%8D%CE%BB%CE%BF%CF%85_%CE%95_%CE%A0%CE%B1%CF%80%CE%B1%CE%B3%CE%B9%CE%AC%CE%BD%CE%BD%CE%B7_%CE%91_%CE%A4%CE%BF%CF%85%CE%BB%CE%BF%CF%85%CE%BC%CF%84%CE%B6%CE%AF%CE%B4%CE%BF%CF%85_eds_%CE%A0%CF%81%CE%BF%CF%83%CF%8C%CE%B4%CE%B9%CE%B1_%CE%9C%CE%B5%CE%BB%CE%AD%CF%84%CE%B5%CF%82_%CE%B3%CE%B9%CE%B1_%CF%84%CE%B9%CF%82_%CE%B1%CF%81%CF%87%CE%B1%CE%AF%CE%B5%CF%82_%CE%BB%CE%B1%CF%84%CF%81%CE%B5%CE%AF%CE%B5%CF%82_%CF%80%CF%81%CE%BF%CF%82_%CF%84%CE%B9%CE%BC%CE%AE%CE%BD_%CF%84%CE%BF%CF%85_%CE%9C%CE%B1%CE%BD%CF%8C%CE%BB%CE%B7_%CE%92%CE%BF%CF%85%CF%84%CF%85%CF%81%CE%AC_Studies_on_Greek_and_Roman_Cults_in_Honour_of_Emmanuel_Voutiras_%CE%91%CE%B8%CE%AE%CE%BD%CE%B1_2025_11_25","","oui, copie Academia signalée; non téléchargée","en","astragale monumental; Olympie; Kairos; culte; interprétation archéologique","4","résumé consulté","texte intégral requis avant validation d'une affirmation","droits éditeur et figures à vérifier; autorisation de l'autrice signalée par le projet","Dans Prosodia. Studies on Greek and Roman Cults in Honour of Emmanuel Voutiras, Athènes, p. 11-25; pagination à confirmer avec l'autrice."
"BC-005","Barbara Carè","Images at Play: Some Misconceptions About Astragal Games in Greek Vase Painting","2025","chapitre scientifique","publié","","","https://www.academia.edu/128505441/Images_at_play_some_misconceptions_about_astragal_games_in_Greek_vase_painting_in_G_Shepherd_ed_From_Corinth_to_Campania_Studies_on_Greek_Vase_Painting_in_Honour_of_Ian_McPhee_SIMA_2025","","oui, copie Academia signalée; non téléchargée","en","iconographie; vases grecs; jeux; erreurs historiographiques; interprétation des images","2;3;4","métadonnées consultées","texte intégral requis avant validation d'une affirmation","droits éditeur et figures à vérifier; autorisation de l'autrice signalée par le projet","Dans G. Shepherd (ed.), From Corinth to Campania, Nicosie, p. 55-66."
"BC-006","Barbara Carè","Beyond the Grave: Burial Rituals and Knucklebones at the State War Memorial of Thespiae","2022","chapitre scientifique","publié","","https://dprha.ua.es/es/documentos/noticias/warriors-at-play.pdf","https://www.academia.edu/94619557/Beyond_the_grave_burial_rituals_and_knucklebones_at_the_State_War_Memorial_of_Thespiae","","oui, actes en accès public; non téléchargés","en","contexte funéraire; Thespies; guerre; rites; astragales","4","résumé consulté","texte intégral requis avant validation d'une affirmation","droits des actes et figures à vérifier","Dans Warriors@Play, University of Alicante, p. 185-199."
"BC-007","Barbara Carè","Where the Children Are: An Insight into ‘Age Markers’ in Western Greece. Astragali from the Burial Area of Locri Epizefiri","2017","article scientifique","publié","10.32028/jga.v2i.578","https://archaeopresspublishing.com/ojs/index.php/JGA/article/view/578","https://unil.academia.edu/BarbaraCar%C3%A8","","abonnement éditeur; éventuelle copie auteur à vérifier","en","Locres; enfance; genre; contexte funéraire; marqueurs d'âge","2;4","résumé et bibliographie consultés","texte intégral requis avant validation d'une affirmation","abonnement éditeur; droits à vérifier","Journal of Greek Archaeology 2, p. 171-194."
"BC-008","Barbara Carè","Knucklebones from the Greek Necropolis of Locri Epizefiri, Southern Italy (VIth-IIIth Century BC). Typological and Functional Analysis","2013","chapitre d'actes","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","à vérifier","en","Locres; typologie; fonction; contexte funéraire; archéologie","2;4","référence bibliographique repérée","à localiser et lire","droits à vérifier","Dans F. Lang (ed.), The Sound of Bones, ARCHAEOPlus 5, p. 87-100."
"BC-009","Barbara Carè","L’astragalo in tomba nel mondo greco: un indicatore infantile? Vecchi problemi e nuove osservazioni a proposito di un aspetto del costume funerario","2012","chapitre scientifique","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","copie Academia signalée; accès à vérifier","it","astragales; enfance; genre; contextes funéraires; monde grec","2;4","référence bibliographique repérée","texte intégral requis avant validation d'une affirmation","droits à vérifier","Dans L’enfant et la mort dans l’Antiquité III, p. 407-420."
"BC-010","Barbara Carè","L’astragalo nel sepolcro ‘μειρακίων τε και παρθένων παίγνιον’? Riflessioni per la rilettura di un costume funerario: i casi di Locri e Caulonia","2010","chapitre scientifique","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","copie Academia signalée; accès à vérifier","it","Locres; Caulonia; contextes funéraires; enfance; interprétation","2;4","référence bibliographique repérée","texte intégral requis avant validation d'une affirmation","droits à vérifier","Dans Caulonia tra Crotone e Locri, p. 459-469."
