id,media,chemin_public,source_originale,auteur,institution,licence,preuve_licence,transformation,modification_autorisee,diffusion_web,diffusion_pdf,diffusion_docx,diffusion_github,statut,action_ou_permission,validation_humaine,notes
A1-PERM-001,Deux vues de l'os mystère,assets/images/activite-01/silhouette-os-enquete.svg; assets/images/activite-01/silhouette-os-enquete.png; assets/images/activite-01/talus-isole-vue-laterale-bodyparts3d.png; assets/images/activite-01/talus-isole-vue-anterolaterale-bodyparts3d.png,https://commons.wikimedia.org/wiki/File:Left_Talus_bone_07_lateral_view.png; https://commons.wikimedia.org/wiki/File:Talus_bone_04_anterolateral_view.png,BodyParts3D DBCLS; annotations Histoires d'os,DBCLS,CC BY-SA 2.1 JP,https://creativecommons.org/licenses/by-sa/2.1/jp/deed.fr,Extraction du surlignage passage en niveaux de gris composition et rasterisation,oui avec attribution et partage à l'identique,oui sous réserve scientifique et juridique,oui sous réserve scientifique et juridique,oui sous réserve scientifique et juridique,oui sous conditions,publiable sous conditions,conserver attribution notices exactes licence transformations et faire valider l'extraction,anatomiste; responsable droits,Ne constitue pas une source anatomique autonome
A1-PERM-002,Support élève du pied,assets/images/activite-01/schema-pied-enquete.svg; assets/images/activite-01/schema-pied-enquete.png; assets/images/activite-01/talus-humain-vue-laterale-neutre-bodyparts3d.png,https://commons.wikimedia.org/wiki/File:Left_Talus_bone_07_lateral_view.png,BodyParts3D DBCLS; annotations Histoires d'os,DBCLS,CC BY-SA 2.1 JP,https://creativecommons.org/licenses/by-sa/2.1/jp/deed.fr,Neutralisation du surlignage ajout de repères et rasterisation,oui avec attribution et partage à l'identique,oui sous réserve scientifique et juridique,oui sous réserve scientifique et juridique,oui sous réserve scientifique et juridique,oui sous conditions,publiable sous conditions,validation anatomique et conservation des obligations CC BY-SA,anatomiste; responsable droits,Géométrie osseuse conservée; réponse non nommée
A1-PERM-003,Support adulte localisant le talus,assets/images/activite-01/schema-localisation-talus.svg; assets/images/activite-01/schema-localisation-talus.png,https://commons.wikimedia.org/wiki/File:Left_Talus_bone_07_lateral_view.png,BodyParts3D DBCLS; annotations Histoires d'os,DBCLS,CC BY-SA 2.1 JP,https://creativecommons.org/licenses/by-sa/2.1/jp/deed.fr,Ajout de flèches contours régionaux légendes et rasterisation,oui avec attribution et partage à l'identique,oui sous réserve scientifique et juridique,oui sous réserve scientifique et juridique,oui sous réserve scientifique et juridique,oui sous conditions,publiable sous conditions,validation anatomique et conservation des obligations CC BY-SA,anatomiste; responsable droits,Contour et légendes indépendants de la couleur
A1-PERM-004,Talus humain vue latérale,assets/images/activite-01/talus-humain-vue-laterale-bodyparts3d.png,https://commons.wikimedia.org/wiki/File:Left_Talus_bone_07_lateral_view.png,BodyParts3D DBCLS,DBCLS,CC BY-SA 2.1 JP,https://creativecommons.org/licenses/by-sa/2.1/jp/deed.fr,Redimensionnement et compression,oui avec attribution et partage à l'identique,oui sous conditions,oui sous conditions,oui sous conditions,oui sous conditions,publiable sous conditions,conserver attribution notice exacte lien licence et indication de transformation,responsable droits,Support de vérification seulement
A1-PERM-005,Talus humain vue antérolatérale,assets/images/activite-01/talus-humain-vue-anterolaterale-bodyparts3d.png,https://commons.wikimedia.org/wiki/File:Talus_bone_04_anterolateral_view.png,BodyParts3D DBCLS,DBCLS,CC BY-SA 2.1 JP,https://creativecommons.org/licenses/by-sa/2.1/jp/deed.fr,Redimensionnement et compression,oui avec attribution et partage à l'identique,oui sous conditions,oui sous conditions,oui sous conditions,oui sous conditions,publiable sous conditions,conserver attribution notice exacte lien licence et indication de transformation,responsable droits,Support de vérification seulement
A1-PERM-006,Squelette de mouton,assets/images/activite-01/squelette-mouton-mav-usp.jpg,https://commons.wikimedia.org/wiki/File:Sheep_skeleton_at_MAV-USP.jpg,Museum of Veterinary Anatomy FMVZ USP / Wagner Souza e Silva; édition antérieure Rodrigo Tetsuo Argenton,Museum of Veterinary Anatomy FMVZ USP,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.fr,Redimensionnement de 3790 x 3032 à 1400 x 1120 px,oui avec attribution et partage à l'identique,oui sous conditions,oui sous conditions,oui sous conditions,oui sous conditions,publiable sous conditions,conserver la notice exacte le crédit la licence et la transformation,responsable droits,Prolongement régional; validation comparative nécessaire
A1-PERM-007,Pied de mouton Dundee,assets/images/activite-01/pied-mouton-talus-dundee.jpg,https://commons.wikimedia.org/wiki/File:Skeletal_sheep_foot_University_of_Dundee_Museum_collections.jpg; https://sketchfab.com/3d-models/skeletal-sheep-foot-b664349af6b34534ab9c0e9fd86f0460,Caroline Eroline selon Commons; University of Dundee Museum Collections selon Sketchfab,University of Dundee Museum Collections,Contradictoire CC BY-SA 4.0 / CC BY-NC-SA,Pages sources à rapprocher,Redimensionnement antérieur constaté; chaîne de transformation à documenter,non déterminé,non,non,non,non,non déterminé,résoudre l'identité du concédant la licence et les transformations du fichier exact,responsable droits,Exclu du kit test et retiré des liens publics recommandés sans supprimer le fichier
A1-PERM-008,Jambe de vache historique,assets/images/activite-01/jambe-vache-ellenberger-baum.jpg,Édition Ellenberger Baum et Dittrich,Hermann Dittrich; Wilhelm Ellenberger; Hermann Baum,,Domaine public annoncé,Édition date et reproduction à documenter,Transformation du fichier existant à documenter,à confirmer,non; ancien fichier suivi à ne pas republier,non; exclu du kit candidat,non; exclu du kit candidat,ancien fichier suivi; ne pas republier,non déterminé,établir l'édition et la preuve du domaine public,responsable droits,Non nécessaire au kit A1 actuel; ancienne présence publique à traiter séparément sans suppression automatique
A1-PERM-009,Planche comparative LeConte 1922,assets/images/activite-01/planche-comparative-leconte-1922.jpg,"https://commons.wikimedia.org/wiki/File:Evolution%3B_its_nature,_its_evidences,_and_its_relation_to_religious_thought_(1922)_(14802898753).jpg",Auteur de l'illustration à identifier,,No known restrictions,Notice de collection insuffisante,Redimensionnement antérieur constaté; chaîne de transformation à documenter,non déterminé,non,non,non,non,non déterminé,documenter auteur édition statut juridique et transformations,responsable droits,Exclue du kit test et retirée des liens publics recommandés sans supprimer le fichier
A1-PERM-010,Modèles 3D privés,,_private-inputs/activite-01/modeles-3d/,À vérifier,À vérifier,À vérifier,Manifestes privés,À documenter,non déterminé,non,non,non,non,conception privée uniquement,établir provenance licence transformations et autorisation,responsable droits,Aucun chemin privé n'est publié dans une ressource web
