id,annee_repere,lieu,latitude,longitude,precision,type,source_principale,institution_inventaire,image_locale,credit_image,statut_droits,validation_restante,medias_complementaires,transformations_statut
A5-C01,-3000,"Abydos, Égypte",26.1844,31.9197,exacte,objet,https://www.metmuseum.org/art/collection/search/547397,"Met 01.4.92",assets/images/activite-04/objet-a-osselet-os-met-a-valider.jpg,"The Metropolitan Museum of Art, Open Access",CC0,"provenance tombale et interprétation",,
A5-C02,-1500,"Thèbes, Égypte",25.7333,32.6000,exacte,objet,https://www.metmuseum.org/art/collection/search/547051,"Met 16.10.505a-c",assets/images/activite-05/egypte-trois-osselets-met.jpg,"The Metropolitan Museum of Art, Open Access",CC0,"formulation pédagogique",,
A5-C03,-450,"Amathonte, Chypre",34.7148,33.1419,exacte,"deux ensembles distincts",https://www.britishmuseum.org/collection/object/G_1894-1101-560,"BM 1894,1101.560; Limassol tombe 441/23",assets/images/activite-05/chypre-amathonte-astragales.jpg,"Catlemur, Wikimedia Commons",CC-BY-SA-4.0,"publication de la tombe 441/23 et validation scientifique","photographie entière; cartouches documentaires Limassol et BM","la photo montre 441/23 et non l'objet BM"
A5-C04,-460,"Attique, Grèce",37.9838,23.7275,régionale,objet,https://www.metmuseum.org/art/collection/search/253610,"Met 40.11.22",assets/images/activite-04/objet-e-vase-astragale-met-a-valider.jpg,"The Metropolitan Museum of Art, Open Access",CC0,"lieu de découverte et fonction",,
A5-C05,-215,"Grèce, lieu précis inconnu",39.0742,21.8243,régionale,représentation,https://art.thewalters.org/object/VO.19/,"Walters VO.19 (48.303-48.304)",assets/images/activite-05/grece-joueuses-osselets-walters.jpg,"Walters Art Museum",CC-BY-SA-3.0,"portée de l'interprétation iconographique",,
A5-C06,150,"Pera Museum, Istanbul",41.0265,28.9748,"lieu de conservation",objet,https://pondera.uclouvain.be/artifact/1683/,"Pera Museum PMA 6602A",assets/images/activite-05/poids-astragale-nimes-landon.jpg,"Mark Landon, Wikimedia Commons",CC-BY-4.0,"autorisation requise avant toute reproduction de PMA 6602A","cartouches de données PMA 6602A; comparaison libre de Nîmes","la photo montre un autre poids de trente livres; objet exact non reproduit"
A5-C07,200,"Musée Carnavalet, Paris",48.8566,2.3522,"lieu de conservation",objet,https://www.parismuseescollections.paris.fr/fr/musee-carnavalet/oeuvres/osselet-0,"Carnavalet YB21",assets/images/activite-05/france-osselet-gallo-romain-carnavalet.jpg,"Paris Musées / Musée Carnavalet",CC0,"lieu de découverte et datation large",,
A5-C08,450,"Caistor St Edmund, Angleterre",52.5814,1.2875,exacte,objet,https://www.runesdb.de/find/613,"NCM 1939.77.N59",,"données RuneS; schémas typographiques Histoire d'os","données CC-BY-SA-4.0; photo non republiée","autorisation Norwich Castle Museum pour la photographie","cartouches dimensions, translittération et lien vers RuneS","aucune reproduction ni fac-similé; photo locale retirée de l'interface"
A5-C09,1878,"Río de la Plata",-34.9011,-56.1645,régionale,représentation,https://blanes.montevideo.gub.uy/exposiciones/coleccion/la-coleccion-del-museo-blanes/pinacoteca/juan-manuel-blanes/la-taba,"Museo Blanes, La taba",assets/images/activite-05/argentine-la-taba-blanes.jpg,"Juan Manuel Blanes, reproduction numérique","droits à valider","portée historique et reproduction",,
A5-C10,1977,"The Strong Museum, Rochester, lieu de conservation du prototype",43.1525,-77.6011,conservation,"jeu moderne",https://artsandculture.google.com/asset/game-prototype-pig-mania-david-moffat/YQGAXRLXnVkDRg?hl=fr,"The Strong Museum, prototype 113.413",assets/images/activite-05/jeu-cochons-pass-the-pigs-ccby.jpg,"Larry D. Moore, CC BY 4.0, via Wikimedia Commons","publiable sous conditions","histoire éditoriale à relire; conserver l'attribution et ne pas suggérer une approbation commerciale",,
A5-C11,2014,Mongolie,46.8625,103.8467,nationale,"pratique vivante",https://ich.unesco.org/fr/RL/le-tir-mongol-aux-osselets-00959,"UNESCO 00959",assets/images/activite-05/mongolie-tir-osselets-unesco.jpg,"Tsogtbayar Ganbat, 2011","droits à valider","règles locales et autorisation image",,
A5-C12,2017,Kazakhstan,48.0196,66.9237,nationale,"pratique vivante",https://ich.unesco.org/fr/RL/les-jeux-traditionnels-d-assyks-kazakhs-01086,"UNESCO 01086; photographies contemporaines indépendantes",assets/images/activite-05/kazakhstan-assyk-geste-zuma-2026.jpg,"Mira Zhumaxanova, Wikimedia Commons",CC-BY-SA-4.0,"validation avec des praticiens et documentation d'une variante locale","assets/images/activite-05/kazakhstan-assyk-terrain-zuma-2026.jpg; cartouche documentaire sur le matériel","deux photos entières de 2026 distinctes du dossier UNESCO 2015"
