language,file,page,width_mm,height_mm,text_characters,body_text_characters,blank,characters_outside_page
fr,activite-01-corrige.pdf,1,209.89,297.01,1255,1086,False,0
fr,activite-01-corrige.pdf,2,209.89,297.01,869,744,False,0
fr,activite-01-fiche-eleve.pdf,1,209.89,297.01,638,500,False,0
fr,activite-01-fiche-eleve.pdf,2,209.89,297.01,564,434,False,0
fr,activite-01-fiche-eleve.pdf,3,209.89,297.01,615,484,False,0
fr,activite-01-guide-encadrement.pdf,1,209.89,297.01,930,783,False,0
fr,activite-01-guide-encadrement.pdf,2,209.89,297.01,787,639,False,0
fr,activite-01-guide-encadrement.pdf,3,209.89,297.01,1636,1452,False,0
fr,activite-01-guide-encadrement.pdf,4,209.89,297.01,1644,1494,False,0
fr,activite-01-guide-encadrement.pdf,5,209.89,297.01,417,286,False,0
fr,activite-01-kit-complet.pdf,1,209.89,297.01,876,735,False,0
fr,activite-01-kit-complet.pdf,2,209.89,297.01,923,783,False,0
fr,activite-01-kit-complet.pdf,3,209.89,297.01,780,639,False,0
fr,activite-01-kit-complet.pdf,4,209.89,297.01,1629,1452,False,0
fr,activite-01-kit-complet.pdf,5,209.89,297.01,1637,1494,False,0
fr,activite-01-kit-complet.pdf,6,209.89,297.01,342,219,False,0
fr,activite-01-kit-complet.pdf,7,209.89,297.01,639,500,False,0
fr,activite-01-kit-complet.pdf,8,209.89,297.01,565,434,False,0
fr,activite-01-kit-complet.pdf,9,209.89,297.01,548,417,False,0
fr,activite-01-kit-complet.pdf,10,209.89,297.01,444,312,False,0
fr,activite-01-kit-complet.pdf,11,209.89,297.01,543,416,False,0
fr,activite-01-kit-complet.pdf,12,209.89,297.01,387,263,False,0
fr,activite-01-kit-complet.pdf,13,209.89,297.01,483,359,False,0
fr,activite-01-kit-complet.pdf,14,209.89,297.01,1261,1086,False,0
fr,activite-01-kit-complet.pdf,15,209.89,297.01,807,677,False,0
fr,activite-01-kit-complet.pdf,16,209.89,297.01,1168,1032,False,0
fr,activite-01-supports.pdf,1,209.89,297.01,439,312,False,0
fr,activite-01-supports.pdf,2,209.89,297.01,538,416,False,0
fr,activite-01-supports.pdf,3,209.89,297.01,382,263,False,0
fr,activite-01-supports.pdf,4,209.89,297.01,546,426,False,0
fr,activite-02-corrige.pdf,1,209.89,297.01,1244,1053,False,0
fr,activite-02-corrige.pdf,2,209.89,297.01,778,628,False,0
fr,activite-02-fiche-eleve.pdf,1,209.89,297.01,668,516,False,0
fr,activite-02-fiche-eleve.pdf,2,209.89,297.01,609,459,False,0
fr,activite-02-fiche-eleve.pdf,3,209.89,297.01,524,384,False,0
